customer_id,campaign_id,channel_type,touchpoint_id,interaction_timestamp,consumer_stage,session_duration_sec,clicks,impressions,engagement_score,sentiment_score,content_embedding_1,content_embedding_2,device_type,prior_purchase_count,customer_lifetime_value,marketing_cost,conversion_flag,conversion_value,attribution_weight,cross_channel_influence,perceived_value_score,roi,effectiveness_score
C331,CMP12,Web,TP013,2024-04-27 06:57:00,Retention,983,6,113,0.01,-0.55,0.104,0.366,Tablet,7,2677.43,8.49,0,0.0,0.4,0.29,0.13,-1.0,0.37
C459,CMP14,In-Store,TP014,2024-06-19 18:19:00,Consideration,878,7,84,0.77,-0.17,0.179,0.195,Mobile,3,3062.25,6.93,1,354.51,0.29,0.54,0.23,88.67,0.23
C088,CMP14,Social,TP015,2024-03-02 18:40:00,Retention,926,1,4,0.04,0.71,0.824,0.675,Desktop,4,2385.52,8.86,0,0.0,0.45,0.74,0.3,-1.0,0.61
C373,CMP02,Mobile,TP016,2024-05-22 04:17:00,Retention,61,6,108,0.83,0.54,0.104,0.306,Tablet,1,4493.58,8.93,1,451.48,0.07,0.5,0.07,59.91,0.32
C100,CMP05,Mobile,TP017,2024-03-16 03:11:00,Awareness,147,3,60,0.54,-0.52,0.467,0.889,Desktop,0,1656.54,4.38,1,89.12,0.39,0.41,0.88,19.23,0.35
C360,CMP05,In-Store,TP018,2024-03-29 06:13:00,Conversion,220,0,114,0.53,0.97,0.195,0.199,Desktop,5,2933.73,1.81,1,239.86,0.31,0.04,0.12,86.13,0.6
C152,CMP06,In-Store,TP019,2024-06-27 11:34:00,Awareness,103,10,167,0.7,0.81,0.162,0.6,Tablet,2,1569.77,6.49,1,63.41,0.8,0.02,0.7,86.6,0.12
C131,CMP13,Social,TP020,2024-03-05 16:57:00,Conversion,652,2,5,0.86,0.06,0.206,0.572,Desktop,10,3791.42,8.8,0,0.0,0.17,0.96,0.51,-1.0,0.77
C150,CMP09,Social,TP021,2024-06-14 09:42:00,Awareness,1156,10,106,0.94,0.06,0.493,0.198,Mobile,3,600.39,1.21,0,0.0,0.76,0.64,0.83,-1.0,0.97
C309,CMP15,Web,TP022,2024-05-20 04:44:00,Consideration,900,0,6,0.54,0.8,0.238,0.44,Desktop,0,1024.63,5.8,0,0.0,0.5,0.83,0.74,-1.0,0.49
C258,CMP14,Mobile,TP023,2024-06-14 08:48:00,Awareness,615,4,14,0.15,0.27,0.097,0.676,Mobile,5,4025.89,1.59,0,0.0,0.08,0.48,0.76,-1.0,0.56
C344,CMP07,Mobile,TP024,2024-04-02 03:35:00,Awareness,449,7,198,0.88,0.07,0.801,0.319,Tablet,7,997.67,0.76,1,148.39,0.97,0.26,0.42,35.66,0.38
C492,CMP02,In-Store,TP025,2024-03-18 08:56:00,Consideration,502,0,126,0.04,0.5,0.54,0.114,Desktop,9,3166.16,6.96,0,0.0,0.73,0.29,0.83,-1.0,0.96
C414,CMP07,Web,TP026,2024-03-29 17:13:00,Consideration,143,8,140,0.81,-0.53,0.157,0.615,Mobile,3,4854.19,6.98,1,277.41,0.26,0.04,0.09,78.68,0.13
C294,CMP06,Mobile,TP027,2024-03-25 14:05:00,Retention,359,2,62,0.68,0.76,0.471,0.224,Mobile,9,2662.16,6.21,0,0.0,0.58,0.79,0.44,-1.0,0.81
C386,CMP17,Web,TP028,2024-06-28 09:28:00,Awareness,368,4,27,0.9,0.06,0.068,0.681,Tablet,7,1018.24,8.66,0,0.0,0.9,0.58,0.99,-1.0,0.65
C192,CMP02,Web,TP029,2024-05-18 03:17:00,Consideration,267,8,54,0.9,0.21,0.58,0.839,Desktop,10,1671.39,1.27,1,61.94,0.93,0.48,0.95,34.55,0.79
C444,CMP03,In-Store,TP030,2024-06-22 16:43:00,Consideration,108,4,90,0.05,-0.82,0.34,0.123,Mobile,9,4134.94,1.5,0,0.0,0.73,0.85,0.08,-1.0,0.95
C277,CMP05,Web,TP031,2024-06-11 15:10:00,Retention,493,8,12,0.61,-0.38,0.104,0.438,Mobile,2,1823.14,8.71,0,0.0,0.73,0.44,0.57,-1.0,0.5
C161,CMP05,Social,TP032,2024-03-14 02:50:00,Conversion,634,9,136,0.12,-0.15,0.184,0.445,Tablet,10,3645.21,5.28,1,139.48,0.28,0.95,0.32,91.48,0.29
C460,CMP01,Social,TP033,2024-06-22 09:37:00,Consideration,591,7,74,0.08,-0.17,0.346,0.633,Desktop,6,3909.02,3.09,0,0.0,0.99,0.01,0.73,-1.0,0.78
C314,CMP08,Email,TP034,2024-04-14 09:17:00,Consideration,314,6,144,0.45,0.56,0.806,0.334,Desktop,2,2555.8,7.51,0,0.0,0.24,0.98,0.74,-1.0,0.84
C022,CMP12,In-Store,TP035,2024-04-27 19:57:00,Awareness,252,10,180,0.1,-0.44,0.174,0.419,Mobile,5,3937.75,9.0,0,0.0,0.09,0.82,0.0,-1.0,0.69
C253,CMP04,Email,TP036,2024-06-20 05:12:00,Retention,622,0,26,0.73,-0.64,0.11,0.012,Desktop,3,1652.82,7.05,1,342.45,0.98,0.35,0.85,23.26,0.85
C236,CMP13,Social,TP037,2024-05-07 22:13:00,Awareness,402,3,136,0.97,0.17,0.516,0.122,Desktop,5,2629.18,8.02,1,295.22,0.15,0.6,0.22,49.37,0.73
C345,CMP15,Email,TP038,2024-06-05 19:36:00,Conversion,940,8,45,0.57,0.23,0.559,0.57,Desktop,6,3464.14,3.18,0,0.0,0.52,0.86,0.97,-1.0,0.96
C049,CMP11,In-Store,TP039,2024-03-08 11:33:00,Retention,857,9,84,0.24,-0.76,0.09,0.216,Desktop,7,923.56,3.24,0,0.0,0.47,0.48,0.91,-1.0,0.57
C475,CMP10,In-Store,TP040,2024-06-16 04:53:00,Awareness,265,7,147,0.84,-1.0,0.284,0.145,Desktop,5,1440.75,8.71,0,0.0,0.85,0.05,0.19,-1.0,0.38
C059,CMP03,Web,TP041,2024-05-08 12:08:00,Consideration,700,3,145,0.85,0.84,0.263,0.324,Desktop,3,3294.98,6.34,1,149.2,0.4,0.9,0.64,95.18,0.68
C170,CMP14,Mobile,TP042,2024-06-14 00:02:00,Consideration,857,0,103,0.73,-0.84,0.186,0.164,Desktop,8,3311.26,2.72,0,0.0,0.5,0.52,0.3,-1.0,0.07
C476,CMP16,Web,TP043,2024-03-30 17:11:00,Retention,792,9,124,0.62,0.8,0.316,0.06,Mobile,6,2517.18,5.48,1,315.17,0.04,0.55,0.1,29.98,0.5
C188,CMP10,In-Store,TP044,2024-03-29 02:25:00,Consideration,409,3,193,0.87,-0.2,0.037,0.284,Mobile,8,3998.37,7.02,1,414.24,0.21,0.01,0.87,50.6,0.77
C464,CMP10,Social,TP045,2024-04-26 08:25:00,Awareness,823,2,123,0.16,0.31,0.652,0.164,Desktop,2,2462.07,2.58,0,0.0,0.83,0.1,0.18,-1.0,0.17
C271,CMP12,Social,TP046,2024-03-02 02:45:00,Retention,643,5,116,0.93,-0.63,0.988,0.799,Desktop,4,4418.48,6.72,1,52.92,0.48,0.78,0.42,41.46,0.4
C190,CMP09,Web,TP047,2024-05-07 18:12:00,Consideration,592,10,157,0.95,0.65,0.634,0.063,Tablet,0,3705.93,0.9,1,412.62,0.23,0.43,0.92,12.4,0.35
C446,CMP01,In-Store,TP048,2024-06-11 11:34:00,Consideration,449,4,14,0.87,-0.64,0.361,0.747,Mobile,10,1642.0,3.39,1,364.16,0.37,1.0,0.08,14.79,0.33
C175,CMP05,Social,TP049,2024-04-24 22:08:00,Conversion,81,4,17,0.25,-0.23,0.668,0.383,Tablet,7,2036.74,6.9,1,203.11,0.29,0.7,0.55,55.18,0.65
C446,CMP08,In-Store,TP050,2024-03-02 21:40:00,Conversion,848,1,13,0.86,-0.52,0.572,0.675,Mobile,0,3371.66,1.92,1,119.97,0.56,0.95,0.57,31.22,0.5
C051,CMP11,Social,TP051,2024-04-13 11:46:00,Retention,234,2,93,0.5,0.68,0.847,0.053,Tablet,0,4482.82,2.61,0,0.0,0.05,0.28,0.76,-1.0,0.8
C364,CMP12,In-Store,TP052,2024-03-02 17:12:00,Conversion,1030,10,63,0.59,0.72,0.622,0.921,Tablet,6,975.67,8.85,1,480.75,0.22,0.18,0.83,99.51,0.06
C055,CMP01,Email,TP053,2024-06-18 04:57:00,Awareness,760,5,33,0.84,-0.26,0.634,0.767,Tablet,10,2621.85,6.91,1,201.47,0.35,0.38,0.42,43.74,0.45
C244,CMP11,In-Store,TP054,2024-06-14 11:09:00,Consideration,286,1,29,0.03,-0.39,0.222,0.14,Mobile,7,682.04,5.24,1,91.74,0.93,0.26,0.74,12.54,0.01
C320,CMP05,In-Store,TP055,2024-04-25 10:24:00,Consideration,214,3,37,0.36,0.55,0.416,0.219,Mobile,2,1469.33,2.5,1,93.52,0.62,0.61,0.91,93.77,0.22
C131,CMP15,Web,TP056,2024-04-03 04:29:00,Consideration,174,1,103,0.82,0.76,0.344,0.644,Desktop,1,3461.31,3.74,1,431.37,0.5,0.74,0.89,85.53,0.78
C485,CMP05,Email,TP057,2024-05-10 05:53:00,Retention,1067,8,174,0.81,0.25,0.011,0.922,Mobile,6,480.9,5.96,0,0.0,0.19,0.4,0.5,-1.0,0.11
C307,CMP12,Mobile,TP058,2024-04-24 02:12:00,Retention,275,2,24,0.85,0.85,0.313,0.446,Mobile,9,3345.56,1.98,0,0.0,0.56,0.09,0.61,-1.0,0.11
C135,CMP05,Web,TP059,2024-03-03 23:52:00,Conversion,216,9,142,0.17,-0.23,0.486,0.486,Mobile,4,4513.97,5.08,1,321.68,0.93,0.03,0.67,68.5,0.4
C021,CMP17,Mobile,TP060,2024-05-09 10:59:00,Consideration,895,9,133,0.71,-0.7,0.6,0.238,Mobile,0,4849.91,4.39,0,0.0,0.57,0.22,0.82,-1.0,0.78
C329,CMP17,Social,TP061,2024-04-27 16:41:00,Consideration,69,5,125,0.15,-0.64,0.935,0.383,Desktop,1,1161.5,5.03,1,413.21,0.16,0.73,0.51,81.22,0.64
C167,CMP12,Mobile,TP062,2024-05-15 16:35:00,Consideration,630,0,53,0.79,0.34,0.239,0.286,Desktop,2,3769.6,1.5,0,0.0,1.0,0.22,0.11,-1.0,0.78
C274,CMP15,In-Store,TP063,2024-05-05 10:38:00,Consideration,991,10,88,0.25,-0.18,0.152,0.351,Mobile,5,4639.22,1.51,0,0.0,0.5,0.91,0.39,-1.0,0.05
C388,CMP15,Mobile,TP064,2024-06-06 17:20:00,Consideration,1015,9,98,0.74,-0.69,0.869,0.021,Tablet,0,547.71,9.66,1,378.38,0.32,0.65,0.72,22.38,0.56
C089,CMP06,Web,TP065,2024-06-08 07:51:00,Awareness,38,2,114,0.46,-0.42,0.942,0.041,Tablet,7,2128.72,9.8,1,291.3,0.5,0.86,0.62,35.82,0.45
C316,CMP12,Web,TP066,2024-04-15 11:21:00,Consideration,379,7,95,0.99,0.06,0.488,0.681,Mobile,1,4605.11,4.55,1,487.9,0.26,0.39,0.75,84.68,0.9
C014,CMP18,Mobile,TP067,2024-04-22 17:42:00,Awareness,113,4,158,0.58,-0.76,0.115,0.682,Desktop,4,1093.66,8.0,1,220.34,0.03,0.98,0.5,72.65,0.74
C242,CMP14,Web,TP068,2024-03-30 07:33:00,Consideration,562,7,188,0.63,-0.99,0.485,0.33,Tablet,7,4675.43,6.73,0,0.0,0.89,0.68,0.17,-1.0,0.42
C265,CMP02,Web,TP069,2024-04-26 14:08:00,Retention,1018,1,120,0.37,0.83,0.109,0.885,Desktop,4,2683.24,1.61,1,298.42,0.43,0.36,0.12,22.49,0.55
C346,CMP09,Mobile,TP070,2024-06-23 19:39:00,Retention,387,6,73,0.73,-0.39,0.883,0.266,Desktop,7,589.48,3.32,0,0.0,0.75,0.21,0.48,-1.0,0.42
C053,CMP05,Email,TP071,2024-03-25 18:04:00,Awareness,407,8,156,0.49,-0.56,0.708,0.396,Tablet,5,2304.4,3.48,1,423.23,0.97,0.87,0.21,73.5,0.44
C386,CMP01,Email,TP072,2024-05-14 14:07:00,Consideration,201,6,106,0.02,0.4,0.241,0.731,Mobile,6,1698.68,6.16,1,328.33,0.63,0.32,0.98,50.37,0.63
C340,CMP03,Social,TP073,2024-05-22 22:26:00,Retention,1078,2,26,0.61,0.71,0.887,0.744,Desktop,7,1482.8,6.01,0,0.0,0.69,0.04,0.2,-1.0,0.22
C092,CMP06,Web,TP074,2024-04-09 18:49:00,Retention,422,6,18,0.83,0.26,0.638,0.861,Tablet,2,2753.23,9.27,1,437.77,0.94,0.28,0.57,10.47,0.33
C367,CMP05,Mobile,TP075,2024-04-11 06:59:00,Consideration,1156,7,164,0.24,-0.49,0.953,0.029,Desktop,4,2469.6,8.01,1,309.81,0.52,0.18,0.0,17.13,0.28
C444,CMP05,Web,TP076,2024-04-10 00:18:00,Consideration,731,0,136,0.22,0.72,0.98,0.184,Tablet,9,2461.64,8.64,0,0.0,0.32,0.32,0.25,-1.0,0.8
C455,CMP01,In-Store,TP077,2024-06-09 18:32:00,Retention,578,2,146,0.61,0.02,0.003,0.641,Mobile,6,531.89,8.97,0,0.0,0.92,0.61,0.26,-1.0,0.94
C428,CMP17,Web,TP078,2024-06-19 15:22:00,Consideration,813,4,58,0.82,-0.24,0.12,0.338,Mobile,8,4031.36,8.11,1,367.06,0.07,0.5,0.74,33.03,0.41
C264,CMP19,Web,TP079,2024-03-07 11:07:00,Conversion,361,5,160,0.25,0.21,0.547,0.044,Mobile,5,2459.05,3.66,0,0.0,0.21,0.71,0.5,-1.0,0.08
C431,CMP14,Email,TP080,2024-03-05 09:27:00,Consideration,823,2,93,0.93,0.4,0.956,0.586,Desktop,9,4122.44,2.54,1,70.62,0.34,0.33,0.01,85.15,0.09
C035,CMP12,Mobile,TP081,2024-06-25 04:48:00,Retention,678,3,49,0.93,0.19,0.994,0.393,Mobile,0,4140.51,5.93,0,0.0,0.78,0.12,0.38,-1.0,0.4
C206,CMP10,Web,TP082,2024-03-26 04:21:00,Retention,1012,4,176,0.2,0.84,0.567,0.364,Mobile,10,1653.96,7.05,1,152.55,0.9,0.16,0.64,59.39,0.39
C081,CMP18,Email,TP083,2024-05-18 12:27:00,Awareness,1082,2,71,0.26,0.26,0.174,0.264,Mobile,7,121.3,4.17,0,0.0,0.45,0.8,0.64,-1.0,0.15
C420,CMP11,Social,TP084,2024-04-02 10:22:00,Conversion,572,3,65,0.7,0.76,0.163,0.006,Mobile,5,4565.1,8.56,0,0.0,0.29,0.1,0.05,-1.0,0.81
C050,CMP02,Email,TP085,2024-06-05 10:17:00,Retention,1072,4,33,0.95,0.17,0.764,0.182,Tablet,0,3827.4,9.63,0,0.0,0.35,0.8,0.93,-1.0,0.5
C360,CMP18,Email,TP086,2024-06-22 20:29:00,Conversion,520,1,50,0.71,-0.34,0.592,0.474,Tablet,3,625.53,5.91,1,180.22,0.66,0.21,0.25,75.45,0.11
C388,CMP07,Email,TP087,2024-03-26 15:12:00,Consideration,312,9,4,0.44,0.06,0.549,0.276,Desktop,5,3538.46,4.84,1,85.91,0.16,0.68,0.89,57.5,0.1
C002,CMP15,Web,TP088,2024-04-08 00:25:00,Retention,891,8,119,0.17,-0.83,0.466,0.874,Tablet,9,198.11,8.51,1,154.76,0.55,0.62,0.21,20.01,0.45
C390,CMP11,Web,TP089,2024-04-17 00:48:00,Awareness,142,9,84,0.46,-0.54,0.725,0.143,Tablet,0,236.02,0.73,0,0.0,0.59,0.1,0.57,-1.0,0.12
C054,CMP18,Social,TP090,2024-04-07 01:48:00,Retention,891,7,117,0.61,0.53,0.858,0.875,Tablet,9,2676.53,1.73,0,0.0,0.71,0.67,0.41,-1.0,0.56
C106,CMP12,In-Store,TP091,2024-03-06 13:49:00,Awareness,639,5,164,0.33,0.32,0.303,0.405,Tablet,4,570.58,8.53,0,0.0,0.6,0.45,0.58,-1.0,0.39
C260,CMP06,In-Store,TP092,2024-04-07 09:23:00,Conversion,537,9,102,0.51,-0.67,0.221,0.276,Tablet,2,4825.25,7.45,0,0.0,0.1,0.71,0.5,-1.0,0.92
C310,CMP13,In-Store,TP093,2024-03-18 08:07:00,Awareness,495,10,156,0.13,-0.12,0.67,0.304,Mobile,6,4479.77,4.45,1,95.45,0.69,0.84,0.0,35.93,0.42
C477,CMP16,Social,TP094,2024-05-31 09:16:00,Consideration,853,2,131,0.45,-0.72,0.915,0.33,Desktop,7,3284.08,8.94,0,0.0,0.02,0.04,0.35,-1.0,0.61
C191,CMP18,In-Store,TP095,2024-06-27 05:13:00,Consideration,638,10,6,0.09,0.71,0.348,0.507,Tablet,2,412.17,3.84,0,0.0,0.39,0.65,0.01,-1.0,0.81
C402,CMP10,In-Store,TP096,2024-03-22 21:05:00,Consideration,1151,1,173,0.05,-0.78,0.272,0.354,Tablet,9,1691.69,6.52,1,175.09,0.42,0.1,0.68,37.1,0.3
C218,CMP08,Email,TP097,2024-03-26 06:11:00,Retention,319,6,23,0.86,0.31,0.226,0.647,Desktop,2,1921.44,6.53,1,336.06,0.12,0.38,0.85,14.3,0.51
C044,CMP18,Web,TP098,2024-06-07 13:21:00,Consideration,897,7,135,0.21,0.21,0.254,0.425,Tablet,10,2456.31,2.25,0,0.0,0.01,0.01,0.38,-1.0,0.12
C162,CMP01,Web,TP099,2024-04-20 22:47:00,Consideration,811,9,120,0.58,-0.05,0.135,0.672,Tablet,2,927.62,3.21,0,0.0,0.07,0.33,0.52,-1.0,0.43
C202,CMP08,Email,TP100,2024-05-10 07:49:00,Retention,191,0,61,0.15,-0.44,0.597,0.604,Desktop,10,2929.81,9.2,0,0.0,0.45,0.17,0.07,-1.0,0.38
C446,CMP06,Email,TP101,2024-05-28 12:20:00,Conversion,653,5,100,0.26,-0.19,0.281,0.244,Mobile,5,2235.28,2.24,1,214.17,0.24,0.56,0.39,47.78,0.43
C484,CMP05,Email,TP102,2024-06-13 09:52:00,Consideration,746,6,65,0.36,0.61,0.615,0.813,Mobile,5,4741.76,2.15,0,0.0,0.07,0.51,0.14,-1.0,0.11
C270,CMP15,Web,TP103,2024-04-24 08:14:00,Consideration,1150,8,134,0.14,0.52,0.083,0.799,Desktop,2,4687.36,5.06,0,0.0,0.26,0.79,0.06,-1.0,0.4
C351,CMP15,In-Store,TP104,2024-04-21 01:24:00,Retention,596,2,24,0.05,0.48,0.115,0.989,Mobile,5,2870.82,1.38,0,0.0,0.53,0.64,0.17,-1.0,0.87
C304,CMP02,Email,TP105,2024-03-13 01:50:00,Conversion,1023,1,37,0.88,0.5,0.536,0.175,Mobile,8,3257.31,9.0,1,216.58,0.74,0.71,0.87,81.45,0.94
C271,CMP01,Social,TP106,2024-04-27 01:34:00,Conversion,1170,4,45,0.01,-0.71,0.512,0.848,Mobile,10,775.2,1.45,0,0.0,0.41,0.09,0.98,-1.0,0.24
C456,CMP11,Email,TP107,2024-06-10 02:41:00,Conversion,625,9,179,0.06,-0.8,0.272,0.872,Mobile,7,1194.28,6.36,1,144.28,0.61,0.03,0.88,51.14,0.3
C462,CMP10,Mobile,TP108,2024-06-28 05:54:00,Retention,988,0,100,0.81,0.72,0.827,0.642,Tablet,10,4513.51,3.73,1,170.14,0.6,0.97,0.97,19.98,0.01
C215,CMP18,Email,TP109,2024-04-17 16:18:00,Awareness,1042,5,102,0.28,0.67,0.187,0.506,Desktop,6,3525.91,8.14,1,471.49,0.9,0.43,0.73,91.46,0.12
C252,CMP18,Web,TP110,2024-05-06 17:38:00,Awareness,504,8,173,0.72,0.36,0.361,0.957,Mobile,6,1028.21,6.1,1,341.62,0.18,0.39,0.16,63.71,0.35
C190,CMP17,Email,TP111,2024-05-12 19:11:00,Consideration,647,9,63,0.15,0.21,0.556,0.973,Mobile,7,2894.03,4.19,1,324.11,0.48,0.04,0.56,11.48,0.69
C296,CMP08,Mobile,TP112,2024-03-05 02:10:00,Consideration,670,8,29,0.24,-0.27,0.867,0.642,Desktop,6,4680.33,9.85,0,0.0,0.63,0.12,0.73,-1.0,0.29
C213,CMP15,Social,TP113,2024-06-29 03:04:00,Consideration,291,6,101,0.57,-0.55,0.419,0.36,Tablet,2,1791.34,1.13,0,0.0,0.52,0.94,0.51,-1.0,0.08
C208,CMP08,In-Store,TP114,2024-03-01 17:11:00,Awareness,191,10,109,0.99,0.34,0.399,0.817,Mobile,7,1010.52,5.99,1,127.01,0.45,0.69,0.55,56.38,0.73
C237,CMP17,Email,TP115,2024-05-16 08:01:00,Retention,210,6,96,0.07,0.83,0.58,0.089,Mobile,7,4715.92,9.9,1,378.11,0.97,0.41,0.59,31.77,0.47
C338,CMP12,Mobile,TP116,2024-04-06 12:15:00,Consideration,754,7,153,0.4,-0.13,0.317,0.291,Tablet,0,2360.2,7.06,0,0.0,0.94,0.9,0.47,-1.0,0.52
C367,CMP08,Mobile,TP117,2024-04-17 23:34:00,Retention,498,9,10,0.04,-0.39,0.709,0.986,Desktop,9,2144.49,7.53,1,123.53,0.61,0.59,0.29,22.92,0.33
C053,CMP14,Social,TP118,2024-03-22 03:10:00,Consideration,50,1,35,0.2,-0.46,0.249,0.814,Mobile,4,1411.08,0.8,0,0.0,0.44,0.75,0.64,-1.0,0.61
C280,CMP04,Web,TP119,2024-06-27 13:28:00,Retention,289,5,55,0.91,-0.95,0.823,0.94,Mobile,4,4468.77,0.7,0,0.0,0.76,0.43,0.05,-1.0,0.89
C410,CMP01,Email,TP120,2024-04-04 15:53:00,Retention,495,4,153,0.1,0.04,0.272,0.595,Desktop,0,4243.52,0.84,1,220.75,0.51,0.43,0.17,48.63,0.55
C217,CMP01,Mobile,TP121,2024-03-15 09:40:00,Awareness,1169,4,173,0.86,0.98,0.993,0.408,Tablet,5,2074.65,9.92,0,0.0,1.0,0.07,0.93,-1.0,0.59
C252,CMP19,Social,TP122,2024-04-12 15:09:00,Retention,566,2,96,0.18,0.63,0.316,0.98,Desktop,5,250.01,9.81,0,0.0,0.69,0.73,0.49,-1.0,0.37
C188,CMP16,In-Store,TP123,2024-04-18 18:01:00,Conversion,981,2,123,0.86,0.79,0.879,0.309,Mobile,3,2288.59,3.68,0,0.0,0.07,0.1,0.82,-1.0,0.08
C380,CMP14,Mobile,TP124,2024-03-24 22:01:00,Awareness,795,5,12,0.54,0.24,0.397,0.757,Tablet,5,986.2,3.26,1,495.29,0.4,0.76,0.73,65.33,0.43
C493,CMP16,Social,TP125,2024-04-07 18:39:00,Consideration,988,9,4,0.88,-0.04,0.246,0.558,Tablet,5,799.4,1.89,0,0.0,0.73,0.19,0.32,-1.0,0.92
C041,CMP05,Web,TP126,2024-03-26 02:57:00,Awareness,963,9,106,0.15,0.98,0.226,0.229,Tablet,0,2026.16,3.63,0,0.0,0.84,0.25,0.8,-1.0,0.68
C157,CMP09,Web,TP127,2024-05-17 15:00:00,Conversion,880,6,90,0.76,-0.11,0.85,0.017,Desktop,4,585.48,4.02,0,0.0,0.81,0.92,0.09,-1.0,0.49
C015,CMP02,Mobile,TP128,2024-04-22 02:53:00,Conversion,562,0,67,0.68,0.83,0.309,0.384,Desktop,1,4791.58,7.61,1,338.0,0.98,0.47,0.87,31.65,0.62
C301,CMP18,Mobile,TP129,2024-05-29 17:08:00,Retention,44,2,145,0.54,0.52,0.339,0.548,Desktop,6,332.94,8.73,1,300.63,0.49,0.13,0.68,47.49,0.56
C065,CMP06,Email,TP130,2024-04-07 22:20:00,Conversion,79,0,65,0.81,-0.34,0.197,0.183,Mobile,8,2066.71,7.59,1,358.08,0.14,0.91,0.93,69.79,0.91
C345,CMP09,Social,TP131,2024-06-29 00:20:00,Conversion,1028,9,82,0.65,0.01,0.961,0.415,Desktop,8,897.24,6.64,1,429.28,0.65,0.45,0.9,17.71,0.22
C327,CMP01,Mobile,TP132,2024-03-27 09:58:00,Conversion,333,2,105,0.88,-0.23,0.245,0.615,Tablet,10,3475.18,7.78,0,0.0,0.07,0.13,0.38,-1.0,0.89
C009,CMP09,Email,TP133,2024-05-09 22:43:00,Conversion,445,4,181,0.38,-0.73,0.247,0.715,Mobile,8,486.18,7.52,0,0.0,0.97,0.39,0.86,-1.0,0.69
C344,CMP16,Email,TP134,2024-06-08 12:16:00,Consideration,334,8,84,0.59,-0.29,0.944,0.053,Mobile,10,2779.35,5.02,0,0.0,0.76,0.59,0.56,-1.0,0.13
C129,CMP13,Mobile,TP135,2024-04-09 19:02:00,Consideration,225,2,185,0.87,0.78,0.901,0.664,Mobile,6,3888.2,3.69,0,0.0,0.98,0.36,0.16,-1.0,0.37
C492,CMP09,Web,TP136,2024-05-15 06:11:00,Awareness,842,9,105,0.21,0.51,0.249,0.057,Tablet,6,4755.29,3.19,1,399.2,0.38,0.92,0.83,97.72,0.44
C136,CMP13,Social,TP137,2024-05-05 23:45:00,Retention,829,9,115,0.49,-0.44,0.865,0.028,Desktop,0,3522.79,6.95,1,153.07,0.02,0.27,0.91,16.09,0.08
C472,CMP09,Social,TP138,2024-05-25 22:29:00,Consideration,417,8,28,0.96,-0.26,0.25,0.152,Tablet,10,587.51,9.61,1,64.45,0.52,0.18,0.08,57.35,0.55
C063,CMP11,Web,TP139,2024-05-08 08:20:00,Conversion,786,0,16,0.47,0.23,0.084,0.654,Desktop,10,533.75,6.02,0,0.0,0.12,0.22,0.93,-1.0,0.26
